id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
1829,CYNM,medium_airport,"Matagami Airport",49.76169967651367,-77.80280303955078,918,NA,CA,CA-QC,Matagami,0,CYNM,YNM,,,https://en.wikipedia.org/wiki/Matagami_Airport,,250,2008-06-13T14:30:04+00:00
1809,CYMA,medium_airport,"Mayo Airport",63.61640167236328,-135.8679962158203,1653,NA,CA,CA-YT,Mayo,0,CYMA,YMA,,,https://en.wikipedia.org/wiki/Mayo_Airport,,250,2008-06-13T14:30:04+00:00
1680,CYBU,medium_airport,"Nipawin Airport",53.33250045776367,-104.00800323486328,1220,NA,CA,CA-SK,Nipawin,0,CYBU,,,,https://en.wikipedia.org/wiki/Nipawin_Airport,YBU,250,2008-06-13T14:30:04+00:00
2016,CZFG,medium_airport,"Pukatawagan Airport",55.7491989136,-101.26599884,958,NA,CA,CA-MB,Pukatawagan,0,CZFG,XPK,ZFG,,https://en.wikipedia.org/wiki/Pukatawagan_Airport,,250,2013-04-21T15:23:43+00:00
1894,CYRS,medium_airport,"Red Sucker Lake Airport",54.167198181152344,-93.55719757080078,729,NA,CA,CA-MB,"Red Sucker Lake",0,CYRS,YRS,,,https://en.wikipedia.org/wiki/Red_Sucker_Lake_Airport,,250,2008-06-13T14:30:04+00:00
2038,CZSN,medium_airport,"South Indian Lake Airport",56.7928009033,-98.9072036743,951,NA,CA,CA-MB,"South Indian Lake",0,CZSN,XSI,ZSN,,https://en.wikipedia.org/wiki/South_Indian_Lake_Airport,,250,2013-04-25T02:40:11+00:00
1677,CYBQ,medium_airport,"Tadoule Lake Airport",58.7061,-98.512199,923,NA,CA,CA-MB,"Tadoule Lake",1,CYBQ,XTL,,,https://en.wikipedia.org/wiki/Tadoule_Lake_Airport,YBQ,250,2016-05-31T10:08:25+00:00
2026,CZLQ,medium_airport,"Thicket Portage Airport",55.31890106201172,-97.70780181884766,678,NA,CA,CA-MB,"Thicket Portage",0,CZLQ,YTD,,,https://en.wikipedia.org/wiki/Thicket_Portage_Airport,ZLQ,250,2008-06-13T14:30:04+00:00
1091,CJL6,small_airport,"Altona Municipal Airport",49.094398498535156,-97.53389739990234,806,NA,CA,CA-MB,Altona,0,CJL6,,CJL6,,https://en.wikipedia.org/wiki/Altona_Municipal_Airport,JL6,50,2008-06-13T14:30:04+00:00
642,CAT1,small_airport,"Atwood / Coghlin Airport",43.6833000183,-81.00440216060001,1215,NA,CA,CA-ON,Atwood,0,CAT1,,CAT1,,https://en.wikipedia.org/wiki/Atwood/Coghlin_Airport,AT1,50,2011-04-21T17:34:01+00:00
1265,CLA6,small_airport,"Lancaster Airpark",45.200401306152344,-74.36100006103516,145,NA,CA,CA-ON,Bainsville,0,CLA6,,,http://www.lancaster-airpark.com/,https://en.wikipedia.org/wiki/Lancaster_Airpark,,50,2009-08-05T18:11:54+00:00
1365,CNZ4,small_airport,"Barry's Bay / Madawaska Valley Airpark",45.5047227536,-77.64409303670001,1000,NA,CA,CA-ON,"Barry's Bay",0,CNZ4,,CNZ4,,https://en.wikipedia.org/wiki/Madawaska_Valley_Airpark,NZ4,50,2011-09-02T19:46:30+00:00
902,CEU2,small_airport,"Beaverlodge Airport",55.184200286865234,-119.447998046875,2289,NA,CA,CA-AB,Beaverlodge,0,CEU2,,CEU2,,https://en.wikipedia.org/wiki/Beaverlodge_Airport,EU2,50,2008-06-13T14:30:04+00:00
1071,CJF8,small_airport,"Biggar Airport",52.05110168457031,-107.98799896240234,2130,NA,CA,CA-SK,Biggar,0,CJF8,,CJF8,,https://en.wikipedia.org/wiki/Biggar_Airport,JF8,50,2008-06-13T14:30:04+00:00
963,CFM2,small_airport,"Birch Mountain Airport",57.70000076293945,-111.83300018310547,2600,NA,CA,CA-AB,"Birch Mountain",0,CFM2,,CFM2,,https://en.wikipedia.org/wiki/Birch_Mountain_Airport,FM2,50,2008-06-13T14:30:04+00:00
995,CFT2,small_airport,"Wilderman Farm Airport",50.552434748,-113.583183289,3350,NA,CA,CA-AB,Blackie,0,CFT2,,CFT2,,https://en.wikipedia.org/wiki/Blackie/Wilderman_Farm_Airport,FT2,50,2012-11-10T19:50:38+00:00
731,CBW4,small_airport,"Bob Quinn Lake Airport",56.9667015076,-130.25,2000,NA,CA,CA-BC,"Bob Quinn Lake",0,CBW4,YBO,CBW4,,https://en.wikipedia.org/wiki/Bob_Quinn_Lake_Airport,BW4,50,2013-06-27T13:45:23+00:00
847,CEF3,small_airport,"Bow Island Airport",49.88330078125,-111.33300018310547,2634,NA,CA,CA-AB,"Bow Island",0,CEF3,,CEF3,,https://en.wikipedia.org/wiki/Bow_Island_Airport,EF3,50,2008-06-13T14:30:04+00:00
742,CCA3,small_airport,"Cable Head Airpark",46.44329833984375,-62.59280014038086,94,NA,CA,CA-PE,"Cable Head",0,CCA3,,CCA3,,https://en.wikipedia.org/wiki/Cable_Head_Airpark,"CA3, PEI",50,2008-06-13T14:30:04+00:00
832,CEA6,small_airport,"Cardston Airport",49.162498474121094,-113.24099731445312,3887,NA,CA,CA-AB,Cardston,0,CEA6,,CEA6,,https://en.wikipedia.org/wiki/Cardston_Airport,EA6,50,2008-06-13T14:30:04+00:00
1026,CGB2,small_airport,"Bishell's Airport",51.582801818847656,-114.052001953125,3400,NA,CA,CA-AB,Carstairs,0,CGB2,,CGB2,,https://en.wikipedia.org/wiki/Carstairs/Bishell's_Airport,GB2,50,2008-06-13T14:30:04+00:00
1018,CFX8,small_airport,"Chestermere (Kirkby Field) Airport",51.04169845581055,-113.75199890136719,3339,NA,CA,CA-AB,Chestermere,0,CFX8,,CFX8,,https://en.wikipedia.org/wiki/Chestermere_(Kirkby_Field)_Airport,FX8,50,2008-06-13T14:30:04+00:00
1402,CPF4,small_airport,"Bruce McPhail Memorial Airport",45.595001220703125,-76.83329772949219,500,NA,CA,CA-ON,Cobden,0,CPF4,,CPF4,,https://en.wikipedia.org/wiki/Cobden/Bruce_McPhail_Memorial_Airport,PF4,50,2008-06-13T14:30:04+00:00
947,CFG3,small_airport,"Consort Airport",52.016700744628906,-110.75,2499,NA,CA,CA-AB,Consort,0,CFG3,,CFG3,,https://en.wikipedia.org/wiki/Consort_Airport,FG3,50,2008-06-13T14:30:04+00:00
1698,CYCT,small_airport,"Coronation Airport",52.0750007629,-111.444999695,2595,NA,CA,CA-AB,Coronation,0,CYCT,YCT,,,https://en.wikipedia.org/wiki/Coronation_Airport,YCT,50,2013-04-21T01:10:53+00:00
638,CAR2,small_airport,"Crawford Bay Airport",49.66669845581055,-116.81700134277344,1760,NA,CA,CA-BC,"Crawford Bay",0,CAR2,,CAR2,,https://en.wikipedia.org/wiki/Crawford_Bay_Airport,AR2,50,2008-06-13T14:30:04+00:00
1054,CJC3,small_airport,"Davidson Municipal Airport",51.247798919677734,-105.97599792480469,2025,NA,CA,CA-SK,Davidson,0,CJC3,,CJC3,,https://en.wikipedia.org/wiki/Davidson_Municipal_Airport,JC3,50,2008-06-13T14:30:04+00:00
1412,CPH2,small_airport,"Rolph Airport",46.11669921875,-77.5333023071289,490,NA,CA,CA-ON,"Deep River",0,CPH2,,CPH2,,https://en.wikipedia.org/wiki/Deep_River/Rolph_Airport,PH2,50,2008-06-13T14:30:04+00:00
1782,CYJQ,small_airport,"Denny Island Airport",52.137937,-128.059748,162,NA,CA,CA-BC,"Denny Island",0,CYJQ,,,,https://en.wikipedia.org/wiki/Bella_Bella_(Denny_Island)_Airport,YJQ,50,2017-11-13T23:22:57+00:00
964,CFM4,small_airport,"Donnelly Airport",55.7094,-117.094002,1949,NA,CA,CA-AB,Donnelly,0,CFM4,YOE,CFM4,,https://en.wikipedia.org/wiki/Donnelly_Airport,FM4,50,2016-04-29T13:07:48+00:00
629,CAL3,small_airport,"Douglas Lake Airport",50.1654600485,-120.171273351,2770,NA,CA,CA-BC,"Douglas Lake",0,CAL3,DGF,CAL3,,https://en.wikipedia.org/wiki/Douglas_Lake_Airport,AL3,50,2012-07-19T17:55:54+00:00
1209,CKM6,small_airport,"Easterville Airport",53.11669921875,-99.80000305175781,850,NA,CA,CA-MB,Easterville,0,CKM6,,CKM6,,https://en.wikipedia.org/wiki/Easterville_Airport,KM6,50,2008-06-13T14:30:04+00:00
895,CES3,heliport,"Edmonton / St. Albert (Delta Helicopters) Heliport",53.686694360500006,-113.687338829,2265,NA,CA,CA-AB,Edmonton,0,CES3,,CES3,,https://en.wikipedia.org/wiki/List_of_heliports_in_Canada#55,"ES3, St. Albert",50,2010-09-23T11:18:51+00:00
1345,CNT6,small_airport,"Elmira Airport",43.58470153808594,-80.60310363769531,1250,NA,CA,CA-ON,Elmira,0,CNT6,,CNT6,,https://en.wikipedia.org/wiki/Elmira_Airport,NT6,50,2008-06-13T14:30:04+00:00
1220,CKQ6,small_airport,"Erickson Municipal Airport",50.4994010925293,-99.89779663085938,2114,NA,CA,CA-MB,Erickson,0,CKQ6,,CKQ6,,https://en.wikipedia.org/wiki/Erickson_Municipal_Airport,KQ6,50,2008-06-13T14:30:04+00:00
1409,CPG7,small_airport,"Fergus (Juergensen Field) Airport",43.73500061035156,-80.44719696044922,1450,NA,CA,CA-ON,Fergus,0,CPG7,,CPG7,,https://en.wikipedia.org/wiki/Fergus_(Juergensen_Field)_Airport,PG7,50,2008-06-13T14:30:04+00:00
774,CCR3,small_airport,"Florenceville Airport",46.42610168457031,-67.62809753417969,508,NA,CA,CA-NB,Florenceville,0,CCR3,,CCR3,,https://en.wikipedia.org/wiki/Florenceville_Airport,CR3,50,2008-06-13T14:30:04+00:00
827,CDY3,small_airport,"Fogo Airport",49.657501220703125,-54.23749923706055,80,NA,CA,CA-NL,Fogo,0,CDY3,,CDY3,,https://en.wikipedia.org/wiki/Fogo_Airport,DY3,50,2008-06-13T14:30:04+00:00
893,CER4,small_airport,"Fort McMurray / Mildred Lake Airport",57.0555992126,-111.573997498,1046,NA,CA,CA-AB,"Fort McMurray",0,CER4,NML,CER4,,https://en.wikipedia.org/wiki/Fort_McMurray/Mildred_Lake_Airport,ER4,50,2012-03-08T16:55:19+00:00
741,CBZ9,small_airport,"Fraser Lake Airport",54.013301849365234,-124.76799774169922,2690,NA,CA,CA-BC,"Fraser Lake",0,CBZ9,,CBZ9,,https://en.wikipedia.org/wiki/Fraser_Lake_Airport,BZ9,50,2008-06-13T14:30:04+00:00
1428,CPL4,small_airport,"Grand Bend Airport",43.28689956665039,-81.71420288085938,642,NA,CA,CA-ON,"Grand Bend",0,CPL4,,CPL4,,https://en.wikipedia.org/wiki/Grand_Bend_Airport,PL4,50,2008-06-13T14:30:04+00:00
1240,CKU6,small_airport,"Grenfell Airport",50.4192008972168,-102.93499755859375,1964,NA,CA,CA-SK,Grenfell,0,CKU6,,CKU6,,https://en.wikipedia.org/wiki/Grenfell_Airport,KU6,50,2008-06-13T14:30:04+00:00
1037,CHG2,small_airport,"Harbour Grace Airport",47.68560028076172,-53.25389862060547,325,NA,CA,CA-NL,"Harbour Grace",0,CHG2,,CHG2,,,HG2,50,2008-06-13T14:30:04+00:00
1407,CPG5,small_airport,"Hawkesbury (East) Airport",45.582801818847656,-74.54889678955078,200,NA,CA,CA-ON,Hawkesbury,0,CPG5,,CPG5,,https://en.wikipedia.org/wiki/Hawkesbury_(East)_Airport,PG5,50,2008-06-13T14:30:04+00:00
685,CBH2,small_airport,"Helmet Airport",59.42580032348633,-120.7979965209961,1930,NA,CA,CA-BC,Helmet,0,CBH2,,CBH2,,https://en.wikipedia.org/wiki/Helmet_Airport,BH2,50,2008-06-13T14:30:04+00:00
632,CAM5,small_airport,"Houston Airport",54.4392009821,-126.778879166,2150,NA,CA,CA-BC,Houston,0,CAM5,,CAM5,,https://en.wikipedia.org/wiki/Houston_Airport_(British_Columbia),AM5,50,2011-12-06T19:41:42+00:00
885,CEP5,small_airport,"Janvier Airport",55.900001525878906,-110.73300170898438,1575,NA,CA,CA-AB,Janvier,0,CEP5,,CEP5,,https://en.wikipedia.org/wiki/Janvier_Airport,EP5,50,2008-06-13T14:30:04+00:00
971,CFN5,small_airport,"La Crete Airport",58.172875198199996,-116.337919235,1046,NA,CA,CA-AB,"La Crete",0,CFN5,,CFN5,,https://en.wikipedia.org/wiki/La_Crete_Airport,FN5,50,2013-02-02T16:11:51+00:00
1617,CTT5,small_airport,"La Romaine Airport",50.259701,-60.679401,90,NA,CA,CA-QC,"La Romaine",0,CTT5,ZGS,CTT5,,https://en.wikipedia.org/wiki/La_Romaine_Airport,"TT5, Gethsemani",50,2018-04-07T21:08:55+00:00
654,CAX5,small_airport,"Likely Airport",52.61669921875,-121.5,3225,NA,CA,CA-BC,Likely,0,CAX5,,CAX5,,https://en.wikipedia.org/wiki/Likely_Airport,AX5,50,2008-06-13T14:30:04+00:00
1082,CJJ8,small_airport,"Macklin Airport",52.34280014038086,-109.91899871826172,2280,NA,CA,CA-SK,Macklin,0,CJJ8,,CJJ8,,https://en.wikipedia.org/wiki/Macklin_Airport,JJ8,50,2008-06-13T14:30:04+00:00
1141,CJV9,small_airport,"Melville Municipal Airport",50.94139862060547,-102.73799896240234,1800,NA,CA,CA-SK,Melville,0,CJV9,,CJV9,,https://en.wikipedia.org/wiki/Melville_Municipal_Airport,JV9,50,2008-06-13T14:30:04+00:00
1192,CKJ8,small_airport,"Molson Lake Airport",54.25809860229492,-97.01110076904297,750,NA,CA,CA-MB,"Molson Lake",0,CKJ8,,CKJ8,,https://en.wikipedia.org/wiki/Molson_Lake_Airport,KJ8,50,2008-06-13T14:30:04+00:00
1050,CJB5,small_airport,"Moosomin Airport",50.16859817504883,-101.64399719238281,1853,NA,CA,CA-SK,Moosomin,0,CJB5,,CJB5,,https://en.wikipedia.org/wiki/Moosomin_Airport,JB5,50,2008-06-13T14:30:04+00:00
637,CAQ5,small_airport,"Nakusp Airport",50.26639938354492,-117.81300354003906,1689,NA,CA,CA-BC,Nakusp,0,CAQ5,,CAQ5,,https://en.wikipedia.org/wiki/Nakusp_Airport,AQ5,50,2008-06-13T14:30:04+00:00
1477,CPY4,closed,"Norwood Airport",44.36500167849999,-77.9997024536,650,NA,CA,CA-ON,Norwood,0,CPY4,,CPY4,,https://en.wikipedia.org/wiki/Norwood_Airport,PY4,50,2010-12-26T15:43:24+00:00
649,CAV3,small_airport,"One Hundred Mile House Airport",51.64250183105469,-121.30699920654297,3055,NA,CA,CA-BC,"One Hundred Mile House",0,CAV3,,CAV3,,https://en.wikipedia.org/wiki/One_Hundred_Mile_House_Airport,AV3,50,2008-06-13T14:30:04+00:00
1454,CPS7,small_airport,"Orton / Smith Field",43.775385719199996,-80.22806882859999,1450,NA,CA,CA-ON,Orton,0,CPS7,,CPS7,,https://en.wikipedia.org/wiki/Orton/Smith_Field_Airport,PS7,50,2010-12-27T15:11:17+00:00
1228,CKR9,small_airport,"Outlook Airport",51.48249816894531,-107.03700256347656,1771,NA,CA,CA-SK,Outlook,0,CKR9,,CKR9,,https://en.wikipedia.org/wiki/Outlook_Airport,KR9,50,2008-06-13T14:30:04+00:00
839,CED3,small_airport,"Oyen Municipal Airport",51.33420181274414,-110.49099731445312,2498,NA,CA,CA-AB,Oyen,0,CED3,,CED3,,https://en.wikipedia.org/wiki/Oyen_Municipal_Airport,ED3,50,2008-06-13T14:30:04+00:00
998,CFT8,small_airport,"Pelican Airport",56.16080093383789,-113.4739990234375,2059,NA,CA,CA-AB,Pelican,0,CFT8,,CFT8,,https://en.wikipedia.org/wiki/Pelican_Airport,FT8,50,2008-06-13T14:30:04+00:00
1144,CJW4,small_airport,"Pelican Narrows Airport",55.28689956665039,-102.75,1242,NA,CA,CA-SK,"Pelican Narrows",0,CJW4,,CJW4,,https://en.wikipedia.org/wiki/Pelican_Narrows_Airport,JW4,50,2008-06-13T14:30:04+00:00
1318,CNL4,small_airport,"Port Elgin Airport",44.41529846191406,-81.41439819335938,650,NA,CA,CA-ON,"Port Elgin",0,CNL4,,CNL4,,https://en.wikipedia.org/wiki/Port_Elgin_Airport,NL4,50,2008-06-13T14:30:04+00:00
754,CCF4,small_airport,"Porters Lake Airport",44.7099936874,-63.2996821404,20,NA,CA,CA-NS,"Porters Lake",0,CCF4,,CCF4,,https://en.wikipedia.org/wiki/Porters_Lake_Airport,CF4,50,2010-12-26T15:54:03+00:00
1486,CRE2,small_airport,"Edzo Airport",62.766700744628906,-116.08399963378906,587,NA,CA,CA-NT,Rae,0,CRE2,,CRE2,,https://en.wikipedia.org/wiki/Rae/Edzo_Airport,RE2,50,2008-06-13T14:30:04+00:00
1185,CKH2,small_airport,"Rocanville Airport",50.464698791503906,-101.55400085449219,1585,NA,CA,CA-SK,Rocanville,0,CKH2,,CKH2,,https://en.wikipedia.org/wiki/Rocanville_Airport,KH2,50,2008-06-13T14:30:04+00:00
1145,CJW5,small_airport,"Russell Airport",50.76580047607422,-101.29499816894531,1825,NA,CA,CA-MB,Russell,0,CJW5,,CJW5,,https://en.wikipedia.org/wiki/Russell_Airport,JW5,50,2008-06-13T14:30:04+00:00
1101,CJN5,small_airport,"Corman Air Park",52.0005989074707,-106.46299743652344,1690,NA,CA,CA-SK,Saskatoon,0,CJN5,,CJN5,,https://en.wikipedia.org/wiki/Saskatoon/Corman_Air_Park,JN5,50,2008-06-13T14:30:04+00:00
755,CCF9,small_airport,"Scottsfield Airpark",45.96030044555664,-67.09529876708984,600,NA,CA,CA-NB,Scottsfield,0,CCF9,,CCF9,,https://en.wikipedia.org/wiki/Scottsfield_Airpark,CF9,50,2008-06-13T14:30:04+00:00
1574,CSX7,small_airport,"Exeter Airport",43.377201080322266,-81.50420379638672,856,NA,CA,CA-ON,Sexsmith,0,CSX7,,CSX7,,https://en.wikipedia.org/wiki/Sexsmith/Exeter_Airport,SX7,50,2008-06-13T14:30:04+00:00
1501,CSB5,small_airport,"Shediac Bridge Airport",46.25469970703125,-64.57669830322266,25,NA,CA,CA-NB,"Shediac Bridge",0,CSB5,,CSB5,,https://en.wikipedia.org/wiki/Shediac_Bridge_Airport,SB5,50,2008-06-13T14:30:04+00:00
1202,CKL5,small_airport,"Shoal Lake Airport",50.45750045776367,-100.60900115966797,1836,NA,CA,CA-MB,"Shoal Lake",0,CKL5,,CKL5,,https://en.wikipedia.org/wiki/Shoal_Lake_Airport,KL5,50,2008-06-13T14:30:04+00:00
983,CFQ5,small_airport,"Silver City Airport",61.028900146484375,-138.4080047607422,2570,NA,CA,CA-YT,"Silver City",0,CFQ5,,CFQ5,,https://en.wikipedia.org/wiki/Silver_City_Airport,FQ5,50,2008-06-13T14:30:04+00:00
1372,CPA4,small_airport,"Simcoe (Dennison Field) Airport",42.819352497699995,-80.265212059,722,NA,CA,CA-ON,Simcoe,0,CPA4,,CPA4,,https://en.wikipedia.org/wiki/Simcoe_(Dennison_Field)_Airport,PA4,50,2010-08-16T23:16:59+00:00
1206,CKM2,small_airport,"Sioux Narrows Airport",49.38999938964844,-93.99530029296875,1100,NA,CA,CA-ON,"Sioux Narrows",0,CKM2,,CKM2,,https://en.wikipedia.org/wiki/Sioux_Narrows_Airport,KM2,50,2008-06-13T14:30:04+00:00
1518,CSG5,small_airport,"St Jean Chrysostome Airport",46.685298919677734,-71.15170288085938,325,NA,CA,CA-QC,"St-Jean Chrysostome",0,CSG5,,CSG5,,https://en.wikipedia.org/wiki/St-Jean_Chrysostome_Airport,SG5,50,2008-06-13T14:30:04+00:00
800,CDA5,small_airport,"St. Andrews Codroy Valley Airport",47.773601532,-59.31309890749999,65,NA,CA,CA-NL,"St. Andrews",0,CDA5,,CDA5,,https://en.wikipedia.org/wiki/St._Andrews_(Codroy_Valley)_Airport,DA5,50,2012-11-19T21:29:12+00:00
1462,CPV3,small_airport,"St. Joseph Island Airport",46.28329849243164,-83.94999694824219,600,NA,CA,CA-ON,"St. Joseph Island",0,CPV3,,CPV3,,https://en.wikipedia.org/wiki/St._Joseph_Island_Airport,PV3,50,2008-06-13T14:30:04+00:00
1420,CPJ5,small_airport,"Stirling Airport",44.241401672399995,-77.5616989136,625,NA,CA,CA-ON,Stirling,0,CPJ5,,CPJ5,http://www.oakhillsflyingclub.ca/ohfc/Welcome.html,https://en.wikipedia.org/wiki/Stirling_Airport,PJ5,50,2013-10-20T22:27:49+00:00
1403,CPF6,small_airport,"Stoney Creek Airport",43.1696925259,-79.7094154358,680,NA,CA,CA-ON,"Stoney Creek",0,CPF6,,CPF6,,https://en.wikipedia.org/wiki/Stoney_Creek_Airport,PF6,50,2013-10-15T18:21:27+00:00
